"Case Number","Case Date","Status","Completion Date","Address","City","State","Zip Code","City PIN","County","Council District","Police District","Neighborhood","Latitude","Longitude","Mapping Location"
"1168301","10/18/2016","C","04/03/2017","2105 MONROE AVE","Kansas City","MO","64127","15114","Jackson","3","East","East Community Team North","39.085981","-94.539067","2105 MONROE AVE   64127 (39.085981, -94.539067)"
"1102908","11/07/2013","C","10/09/2014","8201 Brooklyn Ave","Kansas City","MO","64132","117515","Jackson","5","Metro","Marlborough Heights/Marlborough Pride","38.978151","-94.562193","8201 Brooklyn Ave   64132 (38.978151, -94.562193)"
"1154176","03/25/2016","C","04/05/2017","3010 MERSINGTON AVE","Kansas City","MO","64128","24137","Jackson","3","East","Ingleside","39.070627","-94.538143","3010 MERSINGTON AVE   64128 (39.070627, -94.538143)"
"1152750","02/29/2016","C","01/12/2017","6436 E 16TH ST","Kansas City","MO","64126","6686","Jackson","3","East","East Blue Valley","39.09219","-94.506353","6436 E 16TH ST   64126 (39.09219, -94.506353)"
"1095255","07/08/2013","C","09/19/2013","5400 White Ave","Kansas City","MO","64129","54505","Jackson","5","Metro","Brown Estates","39.026241","-94.516666","5400 White Ave   64129 (39.026241, -94.516666)"
"1126628","12/02/2014","C","05/05/2016","3515 SOUTH BENTON AVE","Kansas City","MO","64128","28655","Jackson","3","East","Oak Park Northwest","39.061974","-94.549439","3515 SOUTH BENTON AVE   64128 (39.061974, -94.549439)"
"1151018","01/19/2016","C","02/08/2016","4940 Paseo","Kansas City","MO","64110","138337","Jackson","5","Metro","Eastern 49-63","39.036634","-94.568113","4940 Paseo   64110 (39.036634, -94.568113)"
"1074592","09/05/2012","C","07/26/2013","3943 Woodland Ave","Kansas City","MO","64130","136554","Jackson","3","Central","Ivanhoe Southwest","39.054069","-94.562653","3943 Woodland Ave   64130 (39.054069, -94.562653)"
"1231597","11/12/2019","C","10/12/2020","3804 Bales Ave","Kansas City","MO","64128","28015","Jackson","3","East","Palestine West And Oak Park Northeast","39.056594","-94.543471","3804 Bales Ave   64128 (39.056594, -94.543471)"
"1048492","08/24/2011","C","12/07/2016","3310 E 20TH ST","Kansas City","MO","64127","15354","Jackson","3","East","Washington Wheatley","39.088216","-94.543891","3310 E 20TH ST   64127 (39.088216, -94.543891)"
"1164308","08/19/2016","C","10/03/2016","4409 Flora Ave","Kansas City","MO","64110","137534","Jackson","3","Central","Ivanhoe Southwest","39.046385","-94.566522","4409 Flora Ave   64110 (39.046385, -94.566522)"
"1081438","12/14/2012","C","05/16/2018","3401 Campbell St","Kansas City","MO","64109","128543","Jackson","4","Central","North Hyde Park","39.065069","-94.573605","3401 Campbell St   64109 (39.065069, -94.573605)"
"1102638","11/04/2013","C","04/01/2015","10435 Wornall Rd","Kansas City","MO","64114","153775","Jackson","6","South","Bridlespur","38.938178","-94.596451","10435 Wornall Rd   64114 (38.938178, -94.596451)"
"1130825","03/13/2015","C","01/30/2017","2211 WABASH AVE","Kansas City","MO","64127","13200","Jackson","3","East","Wendell Phillips","39.085082","-94.552948","2211 WABASH AVE   64127 (39.085082, -94.552948)"
"1048437","08/24/2011","C","02/22/2017","3008 MONROE AVE","Kansas City","MO","64128","24080","Jackson","3","East","Ingleside","39.070926","-94.540483","3008 MONROE AVE   64128 (39.070926, -94.540483)"
"1118879","07/25/2014","C","11/15/2018","3425 Cleveland Ave","Kansas City","MO","64128","26346","Jackson","3","East","Palestine East","39.062684","-94.539011","3425 Cleveland Ave   64128 (39.062684, -94.539011)"
"1153377","03/10/2016","C","08/31/2016","2433 Cypress Ave","Kansas City","MO","64127","19377","Jackson","3","East","East Community Team South","39.080988","-94.530455","2433 Cypress Ave   64127 (39.080988, -94.530455)"
"1198232","05/16/2018","C","09/03/2019","2627 McKinley Ave","Kansas City","MO","64129","47323","Jackson","3","East","Western Blue Township","39.075943","-94.480828","2627 McKinley Ave   64129 (39.075943, -94.480828)"
"1069719","07/26/2012","C","01/13/2014","3635 Olive St","Kansas City","MO","64109","133839","Jackson","3","Central","Ivanhoe Northeast","39.059894","-94.555315","3635 Olive St   64109 (39.059894, -94.555315)"
"1120504","08/18/2014","C","12/06/2016","2213 WABASH AVE","Kansas City","MO","64127","13199","Jackson","3","East","Wendell Phillips","39.085005","-94.552951","2213 WABASH AVE   64127 (39.085005, -94.552951)"
"1125000","10/24/2014","C","04/14/2016","3217 ANDERSON AVE","Kansas City","MO","64124","40846","Jackson","4","East","Scarritt Point","39.111243","-94.543581","3217 ANDERSON AVE   64124 (39.111243, -94.543581)"
"1047376","08/17/2011","C","06/05/2014","2706 E 27TH ST","Kansas City","MO","64127","16459","Jackson","3","East","Washington Wheatley","39.077207","-94.550801","2706 E 27TH ST   64127 (39.077207, -94.550801)"
"1083759","02/13/2013","C","04/15/2019","1824 KENSINGTON AVE","Kansas City","MO","64127","18390","Jackson","3","East","East Community Team North","39.089129","-94.531636","1824 KENSINGTON AVE   64127 (39.089129, -94.531636)"
"1064963","05/18/2012","C","10/17/2013","3811 E 6th St","Kansas City","MO","64124","9457","Jackson","3","East","Lykins","39.104707","-94.536656","3811 E 6th St   64124 (39.104707, -94.536656)"
"1251760","06/08/2021","C","03/23/2022","4139 Wabash Ave","Kansas City","MO","64130","136977","Jackson","3","East","Ivanhoe Southeast","39.050517","-94.554689","4139 Wabash Ave   64130 (39.050517, -94.554689)"
